PLAYER_NAME,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Trae Young,By Year,2023-24,1610612737,ATL,2024-04-14T00:00:00,54,22,32,0.407,36.0,8.0,18.7,0.43,3.2,8.7,0.373,6.4,7.5,0.855,0.4,2.3,2.8,10.8,4.4,1.3,0.2,1.0,2.0,6.4,25.7,-2.1,45.5,37,0,45.6,7,6,6,5,2,4,4,4,2,2,2,6,4,6,7,6,7,2,3,1,1,6,1,3,4,5,3,4,3,3
Trae Young,By Year,2022-23,1610612737,ATL,2023-04-07T00:00:00,73,38,35,0.521,34.8,8.2,19.0,0.429,2.1,6.3,0.335,7.8,8.8,0.886,0.8,2.2,3.0,10.2,4.1,1.1,0.1,1.2,1.4,6.4,26.2,1.4,44.6,40,0,43.9,4,2,5,3,5,3,3,5,6,6,6,2,2,3,2,7,6,3,5,3,6,4,7,4,3,3,5,3,3,5
Trae Young,By Year,2021-22,1610612737,ATL,2022-04-10T00:00:00,76,40,36,0.526,34.9,9.4,20.3,0.46,3.1,8.0,0.382,6.6,7.3,0.904,0.7,3.1,3.7,9.7,4.0,0.9,0.1,1.2,1.7,5.9,28.4,2.1,46.5,42,0,46.9,2,1,4,2,4,1,2,1,3,4,1,4,6,1,3,3,3,4,6,5,7,2,6,5,2,2,2,2,3,2
Trae Young,By Year,2020-21,1610612737,ATL,2021-05-16T00:00:00,63,36,27,0.571,33.7,7.7,17.7,0.438,2.2,6.3,0.343,7.7,8.7,0.886,0.6,3.3,3.9,9.4,4.1,0.8,0.2,1.0,1.8,6.8,25.3,4.2,43.1,28,0,42.8,5,3,7,1,6,5,6,2,5,5,4,3,3,2,4,2,2,5,4,7,2,5,3,2,5,1,6,6,3,6
Trae Young,By Year,2019-20,1610612737,ATL,2020-03-11T00:00:00,60,18,42,0.3,35.3,9.1,20.8,0.437,3.4,9.5,0.361,8.0,9.3,0.86,0.5,3.7,4.3,9.3,4.8,1.1,0.1,1.3,1.7,7.7,29.6,-3.8,47.6,28,2,49.1,6,7,2,7,3,2,1,3,1,1,3,1,1,5,5,1,1,6,1,4,5,1,4,1,1,6,1,6,1,1
Stephen Curry,By Year,2023-24,1610612744,GSW,2024-04-12T00:00:00,74,43,31,0.581,32.7,8.8,19.5,0.45,4.8,11.8,0.408,4.0,4.4,0.923,0.5,4.0,4.5,5.1,2.8,0.7,0.4,0.7,1.6,3.6,26.4,2.6,40.0,7,0,43.1,7,8,4,10,11,5,4,13,5,2,13,8,9,4,15,8,9,16,14,16,3,5,15,8,5,12,12,11,6,10
Stephen Curry,By Year,2022-23,1610612744,GSW,2023-04-09T00:00:00,56,30,26,0.536,34.7,10.0,20.2,0.493,4.9,11.4,0.427,4.6,5.0,0.915,0.7,5.4,6.1,6.3,3.2,0.9,0.4,0.7,2.1,3.9,29.4,4.8,46.8,12,1,49.3,13,13,7,12,4,3,2,3,4,5,8,5,5,9,8,1,1,8,6,15,6,3,10,5,3,8,3,5,4,3
Stephen Curry,By Year,2021-22,1610612744,GSW,2022-03-16T00:00:00,64,45,19,0.703,34.5,8.4,19.1,0.437,4.5,11.7,0.38,4.3,4.7,0.923,0.5,4.7,5.2,6.3,3.2,1.3,0.4,0.6,2.0,3.5,25.5,8.0,43.1,12,2,44.8,11,6,9,6,5,8,6,15,6,4,15,6,6,5,14,3,5,7,4,11,5,9,12,10,7,6,9,5,2,6
Stephen Curry,By Year,2020-21,1610612744,GSW,2021-05-16T00:00:00,63,37,26,0.587,34.2,10.4,21.7,0.482,5.3,12.7,0.421,5.7,6.3,0.916,0.5,5.0,5.5,5.8,3.4,1.2,0.1,0.9,1.9,4.6,32.0,3.9,47.9,8,0,51.3,12,11,7,8,7,1,1,6,1,1,11,1,1,7,16,2,2,13,2,12,16,1,14,1,1,10,2,10,6,2
Stephen Curry,By Year,2019-20,1610612744,GSW,2020-03-05T00:00:00,5,1,4,0.2,27.9,6.6,16.4,0.402,2.4,9.8,0.245,5.2,5.2,1.0,0.8,4.4,5.2,6.6,3.2,1.0,0.4,0.8,2.2,3.8,20.8,-9.0,37.9,1,0,37.8,16,16,16,16,16,14,13,16,13,10,16,3,3,1,2,7,6,6,5,14,2,2,9,6,13,16,13,16,6,13
Damian Lillard,By Year,2023-24,1610612749,MIL,2024-04-14T00:00:00,73,48,25,0.658,35.3,7.4,17.5,0.424,3.0,8.5,0.354,6.5,7.0,0.92,0.5,3.9,4.4,7.0,2.6,1.0,0.2,1.2,1.8,4.9,24.3,5.3,41.1,12,0,41.1,7,4,12,2,13,10,9,11,8,7,11,6,6,3,10,5,7,6,11,6,11,5,8,10,9,2,8,7,4,9
Damian Lillard,By Year,2022-23,1610612757,POR,2023-03-22T00:00:00,58,27,31,0.466,36.3,9.6,20.7,0.463,4.2,11.3,0.371,8.8,9.6,0.914,0.8,4.0,4.8,7.3,3.3,0.9,0.3,0.8,1.9,7.1,32.2,1.8,49.1,16,2,50.8,11,12,5,11,5,1,1,2,1,1,6,1,1,5,3,3,2,3,1,11,6,11,6,1,1,7,1,2,1,1
Damian Lillard,By Year,2021-22,1610612757,POR,2021-12-31T00:00:00,29,12,17,0.414,36.4,7.7,19.0,0.402,3.2,9.8,0.324,5.5,6.2,0.878,0.4,3.7,4.1,7.3,2.9,0.6,0.4,0.8,1.3,5.2,24.0,-1.0,39.9,8,0,40.5,13,13,13,12,4,8,8,13,5,4,13,10,9,10,12,9,10,4,6,13,2,12,13,6,10,13,10,10,4,10
Damian Lillard,By Year,2020-21,1610612757,POR,2021-05-16T00:00:00,67,39,28,0.582,35.8,9.0,19.9,0.451,4.1,10.5,0.391,6.7,7.2,0.928,0.5,3.7,4.2,7.5,3.0,0.9,0.3,1.0,1.5,6.3,28.8,3.0,45.7,16,0,47.0,9,7,9,6,9,3,3,3,2,2,3,4,5,1,11,8,9,2,3,7,10,8,12,2,3,6,3,2,4,3
Damian Lillard,By Year,2019-20,1610612757,POR,2020-08-13T00:00:00,66,33,33,0.5,37.5,9.5,20.4,0.463,4.1,10.2,0.401,7.0,7.8,0.888,0.5,3.8,4.3,8.0,2.9,1.1,0.3,1.3,1.7,6.2,30.0,1.3,48.4,19,1,49.2,10,9,4,10,2,2,2,1,3,3,1,2,2,9,8,6,8,1,5,4,5,2,9,3,2,8,2,1,3,2
Kawhi Leonard,By Year,2023-24,1610612746,LAC,2024-03-31T00:00:00,68,44,24,0.647,34.3,9.0,17.1,0.525,2.1,4.9,0.417,3.7,4.2,0.885,1.2,4.9,6.1,3.6,1.8,1.6,0.9,0.4,1.4,4.2,23.7,5.8,42.2,4,1,40.5,3,6,1,11,1,3,5,1,3,5,2,7,8,3,5,9,8,4,7,9,3,11,11,5,6,9,5,10,1,5
Kawhi Leonard,By Year,2022-23,1610612746,LAC,2023-04-09T00:00:00,52,33,19,0.635,33.6,8.6,16.8,0.512,2.0,4.8,0.416,4.7,5.4,0.871,1.1,5.4,6.5,3.9,1.7,1.4,0.5,0.5,1.6,4.1,23.8,4.2,41.6,4,0,40.1,10,11,3,12,4,6,7,4,4,7,3,5,5,6,7,6,5,3,8,12,9,8,7,6,5,11,6,10,3,6
Kawhi Leonard,By Year,2020-21,1610612746,LAC,2021-05-13T00:00:00,52,36,16,0.692,34.1,8.9,17.5,0.512,1.9,4.9,0.398,5.0,5.7,0.885,1.1,5.4,6.5,5.2,2.0,1.6,0.4,0.5,1.6,4.5,24.8,8.6,44.2,9,0,42.4,10,10,6,9,2,4,4,3,6,6,5,4,4,2,10,5,6,1,3,11,11,4,8,4,4,2,3,5,3,3
Kawhi Leonard,By Year,2019-20,1610612746,LAC,2020-08-12T00:00:00,57,41,16,0.719,32.4,9.3,19.9,0.47,2.2,5.7,0.378,6.2,7.1,0.886,0.9,6.1,7.1,4.9,2.6,1.8,0.6,0.7,2.0,6.0,27.1,8.4,47.4,13,1,46.0,9,8,6,6,7,1,1,12,1,1,8,2,3,1,11,1,3,2,1,3,7,2,2,1,1,3,1,3,1,1
