PLAYER_NAME,GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
Kyle Lowry,By Year,2023-24,-1,TOT,2024-04-14T00:00:00,60,32,28,0.533,28.2,2.7,6.3,0.432,1.6,4.2,0.392,1.1,1.3,0.84,0.6,2.7,3.2,4.2,1.4,1.0,0.4,0.3,2.4,1.7,8.1,0.0,20.9,3,0,19.9,2,1,2,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1
Kyle Lowry,By Year,2023-24,1610612755,PHI,2024-04-14T00:00:00,23,11,12,0.478,28.4,2.6,5.9,0.444,1.6,3.9,0.404,1.2,1.4,0.848,0.4,2.4,2.8,4.6,1.4,0.9,0.3,0.2,2.3,1.8,8.0,-0.5,20.3,2,0,19.3,20,20,19,15,14,18,17,3,14,15,2,19,19,8,19,16,18,14,18,20,15,21,16,19,17,18,17,13,14,17
Kyle Lowry,By Year,2023-24,1610612748,MIA,2024-01-21T00:00:00,37,21,16,0.568,28.0,2.8,6.5,0.426,1.7,4.4,0.385,0.9,1.1,0.833,0.7,2.8,3.5,4.0,1.4,1.1,0.4,0.4,2.5,1.7,8.2,0.4,21.3,1,0,20.2,17,15,18,10,15,15,16,10,13,13,6,20,20,9,13,14,15,16,17,14,4,17,14,20,16,16,16,16,14,14
Kyle Lowry,By Year,2022-23,1610612748,MIA,2023-04-09T00:00:00,55,30,25,0.545,31.2,3.6,8.8,0.404,1.9,5.6,0.345,2.1,2.5,0.859,0.8,3.3,4.1,5.1,1.9,1.0,0.4,0.4,2.6,2.5,11.2,1.0,26.1,2,1,25.2,13,11,9,11,12,13,13,17,9,9,15,17,17,4,9,12,13,13,13,15,5,16,11,18,13,12,13,13,8,13
Kyle Lowry,By Year,2021-22,1610612748,MIA,2022-04-08T00:00:00,63,41,22,0.651,33.9,4.4,10.0,0.44,2.3,6.1,0.377,2.3,2.8,0.851,0.5,4.0,4.5,7.5,2.7,1.1,0.3,0.3,2.8,3.6,13.4,4.0,31.4,16,2,30.3,10,6,13,6,9,11,11,4,8,8,8,16,16,7,16,7,11,2,7,13,13,18,8,12,11,8,10,4,2,10
Kyle Lowry,By Year,2020-21,1610612761,TOR,2021-05-02T00:00:00,46,15,31,0.326,34.8,5.7,13.0,0.436,2.8,7.2,0.396,3.0,3.5,0.875,0.8,4.6,5.4,7.3,2.7,1.0,0.3,0.5,3.1,4.3,17.2,-0.1,35.8,9,2,35.3,16,17,6,18,5,6,6,5,3,4,4,8,10,2,11,2,2,5,6,17,11,12,4,6,6,17,7,11,2,5
Kyle Lowry,By Year,2019-20,1610612761,TOR,2020-08-12T00:00:00,58,41,17,0.707,36.2,5.8,13.8,0.416,2.8,8.0,0.352,5.1,5.9,0.857,0.6,4.5,5.0,7.5,3.1,1.4,0.4,0.8,3.3,5.6,19.4,4.7,39.2,15,2,38.5,12,6,17,4,4,5,4,12,4,1,13,2,3,5,15,3,3,3,1,6,2,5,2,2,3,6,3,5,2,3
Kevin Durant,By Year,2023-24,1610612756,PHX,2024-04-14T00:00:00,75,44,31,0.587,37.2,10.0,19.1,0.523,2.2,5.4,0.413,4.8,5.6,0.856,0.5,6.1,6.6,5.0,3.3,0.9,1.2,0.7,1.8,4.8,27.1,3.9,45.7,14,1,45.2,7,10,4,15,8,4,7,6,8,7,7,18,17,15,11,12,12,7,9,10,8,6,13,12,9,14,11,11,6,11
Kevin Durant,By Year,2022-23,-1,TOT,2023-04-06T00:00:00,47,34,13,0.723,35.6,10.3,18.3,0.56,2.0,4.9,0.404,6.5,7.1,0.919,0.4,6.3,6.7,5.0,3.3,0.7,1.4,0.5,2.1,5.8,29.1,5.5,47.7,5,1,47.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kevin Durant,By Year,2022-23,1610612756,PHX,2023-04-06T00:00:00,8,8,0,1.0,33.7,9.1,16.0,0.57,2.8,5.1,0.537,5.0,6.0,0.833,0.4,6.0,6.4,3.5,2.5,0.3,1.3,0.5,0.9,4.6,26.0,8.6,40.9,0,0,41.6,18,18,18,1,16,12,18,1,1,11,1,15,14,18,15,13,15,13,17,18,6,15,18,15,13,4,16,18,10,16
